saves/t1/best_008_01700.dat vs saves/t1/best_006_01500.dat -> w=46, l=54, d=0
saves/t1/best_078_42300.dat vs saves/t1/best_091_51000.dat -> w=40, l=60, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_008_01700.dat -> w=66, l=34, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_006_01500.dat -> w=45, l=55, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_010_06600.dat -> w=57, l=43, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_018_10800.dat -> w=60, l=40, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_020_11800.dat -> w=64, l=36, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_025_14600.dat -> w=66, l=34, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_038_20900.dat -> w=66, l=34, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_037_19900.dat -> w=63, l=37, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_049_29500.dat -> w=47, l=53, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_046_27800.dat -> w=59, l=41, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_057_32100.dat -> w=76, l=24, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_050_29900.dat -> w=48, l=52, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_066_37500.dat -> w=35, l=65, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_068_37800.dat -> w=66, l=34, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_072_39800.dat -> w=46, l=54, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_078_42300.dat -> w=61, l=39, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_087_48300.dat -> w=55, l=45, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_105_62400.dat -> w=66, l=34, d=0
saves/t1/best_088_48500.dat vs saves/t1/best_091_51000.dat -> w=46, l=54, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_008_01700.dat -> w=49, l=51, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_006_01500.dat -> w=48, l=52, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_010_06600.dat -> w=59, l=41, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_018_10800.dat -> w=61, l=39, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_020_11800.dat -> w=50, l=50, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_025_14600.dat -> w=59, l=41, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_038_20900.dat -> w=55, l=45, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_037_19900.dat -> w=62, l=38, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_049_29500.dat -> w=52, l=47, d=1
saves/t1/best_087_48300.dat vs saves/t1/best_046_27800.dat -> w=52, l=48, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_057_32100.dat -> w=68, l=31, d=1
saves/t1/best_087_48300.dat vs saves/t1/best_050_29900.dat -> w=57, l=43, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_066_37500.dat -> w=51, l=49, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_068_37800.dat -> w=68, l=32, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_072_39800.dat -> w=67, l=32, d=1
saves/t1/best_087_48300.dat vs saves/t1/best_078_42300.dat -> w=62, l=37, d=1
saves/t1/best_087_48300.dat vs saves/t1/best_088_48500.dat -> w=50, l=50, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_105_62400.dat -> w=57, l=43, d=0
saves/t1/best_087_48300.dat vs saves/t1/best_091_51000.dat -> w=44, l=56, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_008_01700.dat -> w=55, l=45, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_006_01500.dat -> w=76, l=24, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_010_06600.dat -> w=55, l=45, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_018_10800.dat -> w=69, l=31, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_020_11800.dat -> w=64, l=36, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_025_14600.dat -> w=55, l=45, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_038_20900.dat -> w=55, l=45, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_037_19900.dat -> w=49, l=51, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_049_29500.dat -> w=63, l=37, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_046_27800.dat -> w=50, l=50, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_057_32100.dat -> w=61, l=39, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_050_29900.dat -> w=55, l=45, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_066_37500.dat -> w=60, l=40, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_068_37800.dat -> w=64, l=36, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_072_39800.dat -> w=56, l=44, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_078_42300.dat -> w=63, l=37, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_088_48500.dat -> w=41, l=59, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_087_48300.dat -> w=56, l=44, d=0
saves/t1/best_105_62400.dat vs saves/t1/best_091_51000.dat -> w=51, l=49, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_008_01700.dat -> w=63, l=37, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_006_01500.dat -> w=68, l=32, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_010_06600.dat -> w=63, l=36, d=1
saves/t1/best_091_51000.dat vs saves/t1/best_018_10800.dat -> w=64, l=36, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_020_11800.dat -> w=59, l=41, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_025_14600.dat -> w=52, l=48, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_038_20900.dat -> w=73, l=27, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_037_19900.dat -> w=56, l=44, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_049_29500.dat -> w=62, l=38, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_046_27800.dat -> w=65, l=35, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_057_32100.dat -> w=53, l=47, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_050_29900.dat -> w=52, l=48, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_066_37500.dat -> w=59, l=41, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_068_37800.dat -> w=59, l=40, d=1
saves/t1/best_091_51000.dat vs saves/t1/best_072_39800.dat -> w=53, l=47, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_078_42300.dat -> w=62, l=38, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_088_48500.dat -> w=58, l=41, d=1
saves/t1/best_091_51000.dat vs saves/t1/best_087_48300.dat -> w=60, l=40, d=0
saves/t1/best_091_51000.dat vs saves/t1/best_105_62400.dat -> w=47, l=53, d=0
Leaderboard:
saves/t1/best_091_51000.dat: 	 w=2254, l=1542, d=4
saves/t1/best_105_62400.dat: 	 w=2163, l=1634, d=3
saves/t1/best_087_48300.dat: 	 w=2156, l=1640, d=4
saves/t1/best_088_48500.dat: 	 w=2155, l=1644, d=1
saves/t1/best_072_39800.dat: 	 w=2133, l=1665, d=2
saves/t1/best_066_37500.dat: 	 w=2115, l=1683, d=2
saves/t1/best_068_37800.dat: 	 w=2031, l=1767, d=2
saves/t1/best_006_01500.dat: 	 w=2022, l=1777, d=1
saves/t1/best_008_01700.dat: 	 w=1990, l=1809, d=1
saves/t1/best_050_29900.dat: 	 w=1931, l=1869, d=0
saves/t1/best_049_29500.dat: 	 w=1857, l=1942, d=1
saves/t1/best_057_32100.dat: 	 w=1832, l=1966, d=2
saves/t1/best_046_27800.dat: 	 w=1808, l=1992, d=0
saves/t1/best_037_19900.dat: 	 w=1791, l=2006, d=3
saves/t1/best_020_11800.dat: 	 w=1777, l=2020, d=3
saves/t1/best_078_42300.dat: 	 w=1693, l=2104, d=3
saves/t1/best_038_20900.dat: 	 w=1676, l=2122, d=2
saves/t1/best_010_06600.dat: 	 w=1622, l=2173, d=5
saves/t1/best_025_14600.dat: 	 w=1525, l=2275, d=0
saves/t1/best_018_10800.dat: 	 w=1449, l=2350, d=1
